2020-04-26 17:49:46,491:<module>:INFO:EUC at 165°E: Mean: 22.1 Sv, Max: 34.8 Sv in Jun, Min: 12.5 Sv in Nov, El Nino: 19.7 Sv, La Nina: 23.9 Sv.
2020-04-26 17:49:46,565:<module>:INFO:EUC at 170°W: Mean: 28.0 Sv, Max: 42.9 Sv in May, Min: 16.1 Sv in Sep, El Nino: 21.6 Sv, La Nina: 32.9 Sv.
2020-04-26 17:49:46,638:<module>:INFO:EUC at 140°W: Mean: 29.5 Sv, Max: 42.1 Sv in Apr, Min: 22.0 Sv in Aug, El Nino: 23.0 Sv, La Nina: 34.4 Sv.
2020-04-26 17:50:28,871:__main__:INFO:EUC at 165°E: Mean: 22.1 Sv, Max: 34.8 Sv in Jun, Min: 12.5 Sv in Nov, El Nino: 19.7 Sv, La Nina: 23.9 Sv.
2020-04-26 17:50:28,946:__main__:INFO:EUC at 170°W: Mean: 28.0 Sv, Max: 42.9 Sv in May, Min: 16.1 Sv in Sep, El Nino: 21.6 Sv, La Nina: 32.9 Sv.
2020-04-26 17:50:29,024:__main__:INFO:EUC at 140°W: Mean: 29.5 Sv, Max: 42.1 Sv in Apr, Min: 22.0 Sv in Aug, El Nino: 23.0 Sv, La Nina: 34.4 Sv.
2020-04-26 17:51:35,170:__main__:INFO:EUC at 165°E: Mean: 22.1 Sv, Max: 34.8 Sv in Jun, Min: 12.5 Sv in Nov, El Nino: 19.7 Sv, La Nina: 23.9 Sv.
2020-04-26 17:51:35,170:mname:INFO:EUC at 165°E: Mean: 22.1 Sv, Max: 34.8 Sv in Jun, Min: 12.5 Sv in Nov, El Nino: 19.7 Sv, La Nina: 23.9 Sv.
2020-04-26 17:51:35,247:__main__:INFO:EUC at 170°W: Mean: 28.0 Sv, Max: 42.9 Sv in May, Min: 16.1 Sv in Sep, El Nino: 21.6 Sv, La Nina: 32.9 Sv.
2020-04-26 17:51:35,247:mname:INFO:EUC at 170°W: Mean: 28.0 Sv, Max: 42.9 Sv in May, Min: 16.1 Sv in Sep, El Nino: 21.6 Sv, La Nina: 32.9 Sv.
2020-04-26 17:51:35,324:__main__:INFO:EUC at 140°W: Mean: 29.5 Sv, Max: 42.1 Sv in Apr, Min: 22.0 Sv in Aug, El Nino: 23.0 Sv, La Nina: 34.4 Sv.
2020-04-26 17:51:35,324:mname:INFO:EUC at 140°W: Mean: 29.5 Sv, Max: 42.1 Sv in Apr, Min: 22.0 Sv in Aug, El Nino: 23.0 Sv, La Nina: 34.4 Sv.
2020-04-26 17:54:35,897:__main__:INFO:EUC at 165°E: Mean: 22.1 Sv, Max: 34.8 Sv in Jun, Min: 12.5 Sv in Nov, El Nino: 19.7 Sv, La Nina: 23.9 Sv.
2020-04-26 17:54:35,897:mname:INFO:EUC at 165°E: Mean: 22.1 Sv, Max: 34.8 Sv in Jun, Min: 12.5 Sv in Nov, El Nino: 19.7 Sv, La Nina: 23.9 Sv.
2020-04-26 17:54:35,897:mname:INFO:EUC at 165°E: Mean: 22.1 Sv, Max: 34.8 Sv in Jun, Min: 12.5 Sv in Nov, El Nino: 19.7 Sv, La Nina: 23.9 Sv.
